,OLS,PLS,PCR,LASSO,ENet,GBRT,RF,NN1,NN2,NN3,NN4,NN5,Ridge,SVR,KNR,XGB,Mean,Median,HA,actual
1957-01-01,0.004428326985165876,-0.0166674933159917,0.00721315809347834,0.006473461344066979,0.006473461344066979,0.008683600169598406,0.0122294703116556,-0.002744920551776886,0.00974232517182827,-0.04793331027030945,0.01495648734271526,0.01094655226916075,0.006473461344066969,0.05451504456089188,0.01769149913518868,0.01227704528719187,0.006547385576312364,0.007948379131538372,0.006439711230692754,-0.0279321216160035
1957-02-01,0.00571332875603453,-0.01644322970765622,0.007902392194505215,0.006473461344066979,0.006473461344066979,0.008683600169598406,0.01141468830650498,0.0158754289150238,0.007462156005203724,-0.06685555726289749,0.01418331451714039,0.01094655226916075,0.006473461344066973,-0.02040861963623339,-0.002112234690449076,-0.006974642165005207,-0.0006995273935542907,0.006473461344066979,0.0063447614161991185,0.02115337261047535
1957-03-01,0.0007268615397897638,-0.01475049838898736,0.00808150685258011,0.006473461344066979,0.006473461344066979,0.008683600169598406,0.01141468830650498,0.01040242426097393,0.006565968971699476,-0.07079174369573593,0.01408886164426804,0.01094655226916075,0.006473461344066973,-0.02625611119974164,0.01470405385267043,0.007572502363473177,5.056568615344095e-05,0.007069235667586327,0.006385556488359659,0.04319212577168548
1957-04-01,-0.007605339041577175,-0.008439076280666105,0.009293562515688582,0.006473461344066979,0.006473461344066979,0.008683600169598406,0.01082664216793762,-0.008791742846369743,0.003735489910468459,-0.05442734807729721,0.01408251654356718,0.01094655226916075,0.006473461344066977,-0.01256359220768305,0.003890477645607157,0.0004286502371542156,-0.0006574514351381238,0.005181969494837067,0.0064866734369402245,0.0355019328926241
1957-05-01,-0.002661647910764536,0.00366752501796642,0.009748824616472532,0.006473461344066979,0.006473461344066979,0.01054153969021734,0.0122294703116556,0.009576095268130302,0.005439631175249815,-0.03241584077477455,0.01433795318007469,0.01094655226916075,0.006473461344066979,-0.02538532248881902,0.0008611696175548507,0.004927290137857199,0.002577101508886395,0.006473461344066979,0.006566167298462646,-0.003306878016633135
1957-06-01,0.01325192237137265,0.01003692521214149,0.01066836804747373,0.006473461344066979,0.006473461344066979,0.01054153969021734,0.0122294703116556,0.01307732984423637,0.004619571845978498,-0.02315787971019745,0.01446277089416981,0.01094655226916075,0.006473461344066981,-0.02243944625075298,-0.02902815103106277,0.003324860008433461,0.002997138595939215,0.008255193278104235,0.006539191764814842,0.00730565086166367
1957-07-01,-0.01165671693432138,0.007553972040427468,0.01004959761147262,0.006473461344066979,0.006473461344066979,0.01054153969021734,0.01141468830650498,0.01047357171773911,0.004325844347476959,-0.03427001461386681,0.01435273140668869,0.01094655226916075,0.00647346134406698,-0.02472867910306849,-0.006634047771601963,0.005956264678388834,0.00173410547983869,0.00647346134406698,0.006541280209220425,-0.05323672541654516
1957-08-01,0.0146614349348608,0.0007746502929106844,0.009513770845916068,0.006473461344066979,0.006473461344066979,0.01054153969021734,0.01141468830650498,0.02025282196700573,0.007515139412134886,-0.0588165819644928,0.0145176388323307,0.01094655226916075,0.006473461344066978,-0.02094802752201537,0.04852956725951092,0.01053133886307478,0.006178432326207524,0.010022554854495424,0.006378839976541717,-0.06211950418255975
1957-09-01,-0.001937849142471915,-0.01632273376412649,0.00808606191491802,0.006473461344066979,0.006473461344066979,0.008683600169598406,0.01141468830650498,0.01109509821981192,0.00816649105399847,-0.06200392544269562,0.01450210344046354,0.01094655226916075,0.006473461344066972,-0.01340187759598538,0.005279985318777606,-0.0002795425243675709,0.0002280647659867279,0.006473461344066979,0.006193207607546862,-0.04220061244042928
1957-10-01,0.007873377620019106,-0.01476707130050449,0.00842651807429925,0.006473461344066979,0.006473461344066979,0.008683600169598406,0.01141468830650498,0.01583409868180752,0.007146958261728287,-0.06438340246677399,0.01429349929094315,0.01094655226916075,0.006473461344066973,-0.02258676052636245,0.003978112618067129,-0.002158750081434846,0.0002576128093283585,0.006810209802897633,0.006062413499309089,0.02052771183156264
1957-11-01,-0.004593937517419294,-0.01776635788034918,0.006497029488367178,0.006473461344066979,0.006473461344066979,0.0008594205691712393,-0.01277885302043856,-0.02386080101132393,0.01116107404232025,-0.04458088427782059,0.01519238855689764,0.01094655226916075,0.006473461344066967,0.1115052491180207,0.005227400592868539,-0.01084914430975914,0.004148720040743534,0.005850430968467753,0.0061014035217679926,-0.04093418669309882
1957-12-01,0.01730579143330413,-0.01489690205495235,0.007403994714374197,0.006473461344066979,0.006473461344066979,0.008683600169598406,0.00648235609546093,0.054682407528162,0.009297201409935951,-0.1285978853702545,0.01413821056485176,0.01094655226916075,0.006473461344066972,-0.01945996240092724,0.0002648575463384103,-0.01496931072324514,-0.001831169049124486,0.006477908719763954,0.005974963763125877,0.04211724470692198
1958-01-01,0.00108399049687094,-0.01031868800748897,0.001924193669829315,0.006103532511219826,0.006103532511219826,0.00953272520393263,0.008512275302805832,-0.008159605786204338,0.00747241172939539,0.01612814143300056,0.008987495675683022,0.009566192515194416,0.005814897424428932,-0.03079302975817307,0.01574199464069368,0.003153299912810326,0.003178334967201145,0.006103532511219826,0.006071859958685653,-0.0170065797711164
1958-02-01,-0.02343724025704291,-0.01646664638318905,-0.00180199424471293,0.006103532511219826,0.006103532511219826,0.00953272520393263,0.008512275302805832,0.01298527885228395,0.00569043168798089,0.01376032456755638,0.008989103138446808,0.009550588205456734,0.005289954042379427,-0.03076579062554766,0.00382821564022287,-0.01715744286775589,4.480295532854547e-05,0.005896982099600358,0.006010152900584578,0.03131631110119772
1958-03-01,-0.03201968222339256,-0.01786069296296199,-0.0009804198026336485,0.006103532511219826,0.006103532511219826,0.00953272520393263,0.008512275302805832,0.02103029005229473,0.007625776808708906,0.01174059882760048,0.009014308452606201,0.00954925362020731,0.005319137356483384,-0.04320514392305097,-0.030784004141542,-0.003532206639647484,-0.002115669940384345,0.006103532511219826,0.006077635989119546,0.03206118070877148
1958-04-01,-0.03538407060125859,-0.009671749199120148,0.0053224944669565,0.006103532511219826,0.006103532511219826,0.00953272520393263,0.008512275302805832,0.01826907694339752,0.01811783388257027,0.009591351263225079,0.008861957117915154,0.009553996846079826,0.005739538086958656,-0.05028042051318685,0.03137572437427956,0.009209654293954372,0.003184840780684342,0.008687116210360493,0.00614674116124628,0.0202864368256955
1958-05-01,-0.04466075897252136,-0.003921575852847387,0.01020329507337601,0.006103532511219826,0.006103532511219826,0.00953272520393263,0.008512275302805832,0.01116658933460712,0.0107107125222683,0.01563518866896629,0.00887000560760498,0.009563006460666656,0.00619176373538813,-0.04939190830343597,0.009781174907073371,0.009730665944516659,0.001508139040927557,0.009201365405768805,0.006184246985289913,0.02651577158967233
